Date,Bank of Japan Accounts/Assets/Gold(a),Bank of Japan Accounts/Assets/Cash(b),Bank of Japan Accounts/Assets/Japanese Government Securities(f),Bank of Japan Accounts/Assets/Commercial Papers(h),Bank of Japan Accounts/Assets/Pecuniary Trusts (Stocks Held as Trust Property)(j),Bank of Japan Accounts/Assets/Pecuniary Trusts (Index-Linked Exchange-Traded Funds Held as Trust Property)(k),Bank of Japan Accounts/Assets/Pecuniary Trusts (Japan Real Estate Investment Trusts Held as Trust Property)(l),Bank of Japan Accounts/Assets/Loans and Discounts/Loans,Bank of Japan Accounts/Assets/Foreign Currency Assets(o),Bank of Japan Accounts/Assets/Deposits with Agents(p),Bank of Japan Accounts/Assets/Others(r),"Bank of Japan Accounts/Assets/Total(Assets, or Liabilities and Net Assets)(s)",Bank of Japan Accounts/Liabilities and Net Assets/Banknotes,Bank of Japan Accounts/Liabilities and Net Assets/Current Deposits,Bank of Japan Accounts/Liabilities and Net Assets/Other Deposits(t),Bank of Japan Accounts/Liabilities and Net Assets/Deposits of the Government,Bank of Japan Accounts/Liabilities and Net Assets/Payables under Repurchase Agreements(u),Bank of Japan Accounts/Liabilities and Net Assets/Others(w),Bank of Japan Accounts/Liabilities and Net Assets/Provisions(x),Bank of Japan Accounts/Liabilities and Net Assets/Capital,Bank of Japan Accounts/Liabilities and Net Assets/Legal and Special Reserves
1998/06,4328,2326.333333,544909.6667,,,,,33005,31511,9187.666667,11014,775501.3333,491704.3333,39860.33333,89.33333333,8380,,6225,27204,1,21324
1998/09,4328,2468,505897,,,,,31403.66667,33651.33333,3059.333333,11091,757261.3333,489353,44822.33333,61.66666667,9192.666667,,9043.333333,27796.33333,1,21326
1998/12,4328,2207.333333,513990,,,,,19726,33819,7771.666667,10383.33333,856920.6667,517052.3333,41660.33333,290,9330.333333,,7532.666667,28981,1,21326
1999/03,4328,2392.666667,483239.6667,,,,,17792.33333,35939.66667,14187.33333,11942.33333,783511.6667,510606,50570.66667,128.3333333,10320.33333,,10154.33333,28217.33333,1,21326
1999/06,4328,2575,564463,,,,,9915.666667,38801.66667,8556.666667,12883.66667,756701.6667,520260.3333,45443.33333,2391.333333,22641.33333,,18098,26690,1,21829.33333
1999/09,4328,2792,499236,,,,,11977,37375.66667,5821.333333,11210.66667,684920,516447.6667,52695.66667,2923.666667,28245.66667,,13947,27539,1,22081
1999/12,4328,2502.333333,568284,,,,,14803.33333,37723,8008,9493.666667,878350,567860.3333,112250.3333,1341.666667,47935.66667,,14691.33333,29237,1,22081
2000/03,4328,2563.333333,651251.6667,,,,,13293.66667,35922.66667,14621,10809.66667,969451,552505.3333,128641,860.6666667,106911.6667,,16292,28710,1,22081
2000/06,4328,2377,642303.3333,,,,,8396.666667,33477.33333,9178.666667,9736.666667,824330,553100.3333,53439.66667,839,80751.33333,,7338.333333,27656,1,22462.33333
2000/09,4445,2613.333333,603237,,,,,6792.333333,33544,5483.666667,11610.66667,848873.6667,550527.3333,51136.33333,248.6666667,84762.33333,,7241.333333,26774.66667,1,22653
2000/12,4445,2573.333333,585899.6667,,,,,6254.666667,36321.33333,8245.333333,10898,1014349,590395,50825,225,103996.3333,,12747,25012,1,22653
2001/03,4445,3041.333333,556140,,,,,8344.333333,35040.66667,14121,12756.33333,1110535.333,578124.3333,51947,216.3333333,195981.6667,,18392.33333,26147.66667,1,22653
