query,lat,lon,lat_min,lat_max,lon_min,lon_max,Name,POC,Physically Visited? Y/N,status,Last PoC Date,Touchpoint #,Next Visit Date,"Type(A,B,C)",Lead,Type,"Phone (store, cell)",Name of who you talked to,Their position...14,Their email,Decision Maker Name,Their position...17,Decision Maker Email,# of locations,Notes,...21,...22,...23,...24,cluster
"1020 S Gaylord St Denver, CO 80209",39.6979521,-104.961644,39.6979021,39.6980021,-104.961694,-104.961594,Devils food bakery,Luke,Y,In person,19-Oct,2,NA,A,2,Bakery,303.777.9555,"Don't remember physical visit,",but jacob for phone call,NA,NA,NA,NA,NA,"Jacob - Manager ""I think we donate to a foodbank? I don't know I'm not here that late.""",NA,NA,NA,NA,1
"1020 S Gaylord St Denver, CO 80209",39.6979521,-104.961644,39.6979021,39.6980021,-104.961694,-104.961594,Devils food bakery,Luke,Y,In person,18-Oct,NA,NA,NA,NA,NA,NA,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1020 S Gaylord St Denver, CO 80209",39.6979521,-104.961644,39.6979021,39.6980021,-104.961694,-104.961594,Devils food bakery,Luke,Y,In person,19-Oct,2,NA,A,2,Bakery,303.777.9555,"Don't remember physical visit,",but jacob for phone call,NA,NA,NA,NA,NA,"Jacob - Manager ""I think we donate to a foodbank? I don't know I'm not here that late.""",NA,NA,NA,NA,1
"1020 S Gaylord St Denver, CO 80209",39.6979521,-104.961644,39.6979021,39.6980021,-104.961694,-104.961594,Devils food bakery,Luke,Y,In person,18-Oct,NA,NA,NA,NA,NA,NA,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1045 Lincoln St Denver, CO 80203",39.7330284,-104.9863822,39.7329784,39.7330784,-104.9864322,-104.9863322,Roostercat Coffee House,Luke,Y,Email,17-Oct,2,NA,A,2,cafe,(720) 388-0356,Logan,Food manager,NA,JJ,Owner,roostercat@gmail.com,1,x,NA,NA,NA,NA,2
"1075 Park Ave W Denver, CO 80205",39.7542139,-104.9868653,39.7541639,39.7542639,-104.9869153,-104.9868153,Jubilee Roasting Co.,NA,N,NA,NA,NA,NA,NA,NA,cafe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1139 20th St Denver, CO 80202",39.7522539,-104.9914692,39.7522039,39.7523039,-104.9915192,-104.9914192,Slackline Coffee,Luke,Y,In person,19-Oct,2,NA,B,2,cafe,NA,Forgot,NA,NA,Chad Bratt,Owner,chad.bratt@jaggedbrewery.com,NA,Was told to email owner. Forgot name of employee,NA,NA,NA,NA,3
"1201 E 13th Ave Denver, CO 80218",39.7369802,-104.972873,39.7369302,39.7370302,-104.972923,-104.972823,Thump Coffee,Eddy,Y,email,24-Oct,2,NA,A,1,cafe,NA,Paige,employee,NA,Andy,NA,andy@thumpcoffee.com,NA,they have surplus and don't have a solution - the employee was all about it,NA,NA,NA,NA,2
"1209 E 13th Ave Denver, CO 80218",39.7369805,-104.972569,39.7369305,39.7370305,-104.972619,-104.972519,Ritual Social House,Eddy,Y,partner,19-Oct,1,NA,A,partner,fast casual MTO,NA,NA,NA,NA,Brian,NA,briand@ritualdenver.com,1,"""conductor of chaos"" - this guy gets it",NA,NA,NA,NA,2
"1222 Madison St Denver, CO 80206",39.7355945,-104.945796,39.7355445,39.7356445,-104.945846,-104.945746,Crepes n Crepes,Eddy,Y,in-person,19-Oct,1,NA,B,3,fast casual RM,NA,Daniella,manager,NA,Elina,Owner,NA,NA,"they prep crepes and fridge em, supossedly no surplus",NA,NA,NA,NA,5
