LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,104.4581,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,116.253,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,58.76665,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,54.30249,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,148.4734,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,74.33302,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,34.67929,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,103.8484,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,80.51881,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,32.90467,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,67.29042,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,62.91692,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,125.6168,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,141.232,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,58.16976,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,12.89821,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,54.10808,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,85.86059,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,118.8029,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,73.64031,,A,,,,,,,
