Name,query,POC,Physically Visited? Y/N,status,Last PoC Date,Touchpoint #,Next Visit Date,"Type(A,B,C)",Lead,Type,"Phone (store, cell)",Name of who you talked to,Their position...14,Their email,Decision Maker Name,Their position...17,Decision Maker Email,# of locations,Notes,...21,...22,...23,...24
Denver Milk Market,"1800 Wazee St 100 Denver, CO 80202",Eddy,Y,partner,NA,NA,NA,NA,0,grab n go,NA,NA,NA,NA,NA,NA,steven.kean@sagehospitalitygroup.com,5,single owner for all the shops in the market - they experience surplus food being wasted especially with the packaged fruit/salad containers  / Steven is  interested and he manages the locations but owner would have to approve & accounting team would need to approve,NA,NA,NA,NA
My Vision Nutrition,"727 S University Blvd Denver, CO 80209",Jack,Y,partner,18-Oct,2,NA,A,partner,grab n go,720-546-3116,Mia,cashier,alejandro@mvnmealprep.com,Alejandro,CFO & COO,alejandro@mvnmealprep.com,2,Spoke w employee. They discount meals that don't sell then throw out the rest,NA,NA,NA,NA
Tony Ps,"3000 Zuni St Denver, CO 80211",Eddy,Y,partner,18-Oct,2,NA,B,partner,Pizza,720-314-1735,Tony,NA,NA,Tony P,Owner,tony@tonypspizza.com,1,"Ciabatta bread, muffins, occassional slice - already partnered / needs a device to access platform on bc current tablets aren't supported",NA,NA,NA,NA
Detox Juice,"3310 Brighton Blvd Denver, CO 80216",Eddy,Y,partner,18-Oct,1,NA,B,partner,grab n go,720-909-9017 (C),Karen Parra,Owner,NA,NA,NA,info@thedetoxjuice.com,1,"$25 big bag, $6 small bag",NA,NA,NA,NA
Qargo Coffee,"2005 17th St Denver, CO 80202",Luke,Y,partner,20-Oct,2,NA,A,partner,cafe,NA,Brighton and Rena,NA,NA,Rena,Manager,NA,1,Talked to Brighton - passing info along. Didn't have contact info for manager. (find email online for recap) / phone call with rena - setting them up monday!!!,NA,NA,NA,NA
Ritual Social House,"1209 E 13th Ave Denver, CO 80218",Eddy,Y,partner,19-Oct,1,NA,A,partner,fast casual MTO,NA,NA,NA,NA,Brian,NA,briand@ritualdenver.com,1,"""conductor of chaos"" - this guy gets it",NA,NA,NA,NA
Post Oak,"4000 Tennyson St Denver, CO 80212",Eddy,Y,partner,24-Oct,3,NA,A,partner,fast casual RM,NA,Zack,Manager,zack@postoakdenver.com,Nick Prince,Owner,NA,1,They prep their ribs and pulled pork and other meat items that they have in surplus / could box and fridge excess and list on goodie bag /,NA,NA,NA,NA
Sonnys,"2622 W 32nd Ave, Denver",Jack,Y,partner,24-Oct,2,NA,A,partner,fast casual MTO,NA,NA,NA,david@sonnysmed.com,NA,NA,NA,1,great guys/love goodiebag/have chicken that expires when they close on sunday and open on monday/new shop/also next to bakery that could use us,NA,NA,NA,NA
Altimeter Cafe,"4499 W 38th Ave Denver, CO 80212",Eddy,Y,email,24-Oct,2,NA,A,2,cafe,(720) 688-0044,Tori & Franny,employees,NA,Lee Ann,GM,leeann@flyteco.beer,1,"they have surplus bagels that are thrown out & day old muffins they sell for $1 but still end up throwing out / mon,tues,thurs,fri / spoke to jess and confirmed muffin surplus",NA,NA,NA,NA
the Urban Cookie,"2260 E Colfax Ave Denver, CO 80206",Eddy,Y,email,23-Oct,2,NA,A,1,Bakery,720-532-8100,Denon Moore,Founder,denon@theurbancookie.com,NA,NA,NA,1,Denon has a mystery bag of 3 day old cookies that they sell in store for $6 / she was interested in us but says they sell thru their in-store day olds / also runs the savageau cafe next store,NA,NA,NA,NA
