Name,Status,Last PoC Date,"Shop category (pizzeria RM, pizzeria MTO, fast casual RM, fast casual MTO, bakery, donut shop, cafe, bagels shop, grocer, grab n' go)",# of locations,Ownership,Address,POC,Physically Visited? Y/N,"Last Poc Type (in-person, call, email)",Touchpoint #,Next Visit Date,"Type(A,B,C)",Lead,"Phone (store, cell)",Name of who you talked to,Their position...17,Their email,Decision Maker Name,Their position...20,Decision Maker Email,Notes,...23,...24,...25,...26,lon,lat,address,status_Color
Denver Milk Market,partner,NA,Grab & Go + MTO,5,NA,"1800 Wazee St 100 Denver, CO 80202",Eddy,Y,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,steven.kean@sagehospitalitygroup.com,single owner for all the shops in the market - they experience surplus food being wasted especially with the packaged fruit/salad containers  / Steven is  interested and he manages the locations but owner would have to approve & accounting team would need to approve,NA,NA,NA,NA,-104.9970626,39.7531593,"1800 wazee st suite 100, denver, co 80202, usa",blue
My Vision Nutrition,partner,18-Oct,grab n' go,2,NA,"727 S University Blvd Denver, CO 80209",Jack,Y,email,2,NA,A,0,720-546-3116,Mia,cashier,alejandro@mvnmealprep.com,Alejandro,CFO & COO,alejandro@mvnmealprep.com,Spoke w employee. They discount meals that don't sell then throw out the rest,NA,NA,NA,NA,-104.9597398,39.7031438,"727 s university blvd, denver, co 80209, usa",blue
Tony Ps,partner,18-Oct,"Pizza, cute cafe",1,NA,"3000 Zuni St Denver, CO 80211",Eddy,Y,in-person,2,NA,B,0,720-314-1735,Tony,NA,NA,Tony P,Owner,tony@tonypspizza.com,"Ciabatta bread, muffins, occassional slice - already partnered / needs a device to access platform on bc current tablets aren't supported",NA,NA,NA,NA,-105.0156042,39.7598278,"3000 zuni st, denver, co 80211, usa",blue
Detox Juice,partner,18-Oct,grab n go,1,NA,"3310 Brighton Blvd 110 Denver, CO 80216",Eddy,Y,in-person,1,NA,B,0,720-909-9017 (C),Karen Parra,Owner,NA,NA,NA,info@thedetoxjuice.com,"$25 big bag, $6 small bag",NA,NA,NA,NA,-104.9805375,39.7681448,"3310 brighton blvd ste.110, denver, co 80216, usa",blue
Qargo Coffee,partner,20-Oct,Cafe,1,NA,"2005 17th St Denver, CO 80202",Luke,Y,Call/text,2,NA,A,0,NA,Brighton and Rena,NA,NA,Rena,Manager,NA,Talked to Brighton - passing info along. Didn't have contact info for manager. (find email online for recap) / phone call with rena - setting them up monday!!!,NA,NA,NA,NA,-105.0021451,39.7551859,"2005 17th st, denver, co 80202, usa",blue
Ritual Social House,partner,19-Oct,fast casual MTO,1,NA,"1209 E 13th Ave Denver, CO 80218",Eddy,Y,in-person,1,NA,A,0,NA,NA,NA,NA,Brian,NA,briand@ritualdenver.com,"""conductor of chaos"" - this guy gets it",NA,NA,NA,NA,-104.9726439,39.7370508,"1209 e 13th ave, denver, co 80218, usa",blue
Post Oak,partner,24-Oct,fast casual RM,1,NA,"4000 Tennyson St Denver, CO 80212",Eddy,Y,email,3,NA,A,0,NA,Zack,Manager,zack@postoakdenver.com,Nick Prince,Owner,NA,They prep their ribs and pulled pork and other meat items that they have in surplus / could box and fridge excess and list on goodie bag /,NA,NA,NA,NA,-105.0437324,39.7717819,"4000 tennyson st, denver, co 80212, usa",blue
Sonnys,partner,24-Oct,Mediterranean,1,NA,"2622 W 32nd Ave, Denver",Jack,Y,email,2,NA,A,0,NA,NA,NA,david@sonnysmed.com,NA,NA,NA,great guys/love goodiebag/have chicken that expires when they close on sunday and open on monday/new shop/also next to bakery that could use us,NA,NA,NA,NA,-105.0196232,39.7617535,"2622 w 32nd ave, denver, co 80211, usa",blue
Reem's Bakery,partner,NA,bakery,NA,NA,"2418 S Colorado Blvd, Denver, CO 80222",Eddy,N,Call,NA,NA,NA,NA,720-499-9034 (C),NA,NA,NA,Bushra,Owner,NA,NA,NA,NA,NA,NA,-104.9402426,39.6727883,"2418 s colorado blvd, denver, co 80222, usa",blue
the Urban Cookie + Savageau Coffee,partner,23-Oct,Bakery,1,NA,"2260 E Colfax Ave Ste 101 Denver, CO 80206",Eddy,Y,email,2,NA,A,1,720-532-8100,Denon Moore,Founder,denon@theurbancookie.com,NA,NA,NA,Denon has a mystery bag of 3 day old cookies that they sell in store for $6 / she was interested in us but says they sell thru their in-store day olds / also runs the savageau cafe next store,NA,NA,NA,NA,-104.9601367,39.7397943,"2260 e colfax ave suite 101, denver, co 80206, usa",blue
Mob Coffee,C1,24-Oct,cafe,1,NA,"3937 Tennyson St Denver, CO 80212",Eddy,Y,email,2,NA,A,1,NA,James,employees,NA,Andre & Neva,Founders,mobcoffeedenver@gmail.com,"surplus donuts & burritos, no current solution / young couple owners",NA,NA,NA,NA,-105.0441636,39.7718344,"3937 tennyson st, denver, co 80212, usa",lightblue
Altimeter Cafe,C1,24-Oct,cafe,1,NA,"4499 W 38th Ave Ste 101 Denver, CO 80212",Eddy,Y,email,2,NA,A,2,(720) 688-0044,Tori & Franny,employees,NA,Lee Ann,GM,leeann@flyteco.beer,"they have surplus bagels that are thrown out & day old muffins they sell for $1 but still end up throwing out / mon,tues,thurs,fri / spoke to jess and confirmed muffin surplus",NA,NA,NA,NA,-105.0448627,39.7696155,"4499 w 38th ave #101, denver, co 80212, usa",lightblue
Delectable egg,C1,26-Oct,fast casual RM,NA,NA,"1642 Market St Denver, CO 80202",Eddy,Y,email,2,NA,A,1,NA,NA,NA,NA,Amy,NA,NA,"Amy is GM and soon to be sole proprietor, loves the idea for the community element and something that heremployees can rally behind / going to expand throughout coloraod",NA,NA,NA,NA,-104.997359,39.750231,"1642 market st, denver, co 80202, usa",lightblue
Just BE Kitchen,C1,26-Oct,Fast casual,NA,NA,"2364 15th St, Denver, CO 80202",Eddy,Y,email,2,NA,B,1,(303) 284-6652,Jude,Fixer,jude@justbekitchen.com,Jen,Owner,NA,Jude was hired to fix up the shop and loved the idea and how we work/Following up w email/expanding to boulder,NA,NA,NA,NA,-105.0091486,39.7560568,"2364 15th st, denver, co 80202, usa",lightblue
Sonder Coffee,C1,31-Oct,Cafe,NA,NA,"2000 S Colorado Blvd, Denver, CO 80222",Eddy,Y,email,2,NA,A,1,NA,Andrew,NA,NA,Julia,Owner,contact@sondercoffee.co,2 locations / not much surlpus / located inside junction,NA,NA,NA,NA,-104.9380216,39.6808677,"2000 s colorado blvd, denver, co 80222, usa",lightblue
