Date,Secondary income /Net balance,Goods/Net balance,Services/Net balance,Primary income/Net balance,Current account/Net balance
1996/01,-692.2219003,2647.125914,-5746.359695,4132.973002,341.5173216
1996/02,-1096.499533,8521.364394,-4706.976742,5891.138837,8609.026956
1996/03,-1296.910963,13175.11185,-4741.924624,6017.739992,13154.01625
1996/04,-673.5004244,5276.054945,-5600.853522,7174.331058,6176.032056
1996/05,-781.7049079,4060.601048,-5102.030916,5903.055926,4079.92115
1996/06,-679.424278,9006.273967,-5574.166809,3608.259628,6360.942508
1996/07,-734.5518337,6821.231435,-5912.121168,5275.774613,5450.333045
1996/08,-734.2601327,5445.238688,-5395.236054,5462.347947,4778.090449
1996/09,-683.1404736,9950.342553,-6498.116708,4279.479973,7048.565344
1996/10,-731.8752675,6794.993996,-6902.275353,4597.3714,3758.214776
1996/11,-717.2215563,8470.271872,-5410.872767,4803.785948,7145.963497
1996/12,-954.0246176,10177.21164,-5580.606869,4398.138186,8040.718336
1997/01,-854.5714144,2464.273211,-5404.913813,5102.346776,1307.134759
1997/02,-1026.780463,8703.3355,-5319.160479,6592.872413,8950.266971
1997/03,-1975.120704,10431.64661,-5692.787022,7849.349043,10613.08793
1997/04,-726.6875599,10106.98719,-6150.829602,7617.853565,10847.3236
1997/05,-831.3517126,9138.660489,-5311.087106,5897.815069,8894.036739
1997/06,-847.6478807,10745.86532,-4626.692975,4529.071594,9800.596058
1997/07,-578.7251232,10457.97784,-5825.992829,4768.630751,8821.890637
1997/08,-620.1963061,9247.406309,-6176.42705,5623.425269,8074.208222
1997/09,-554.0716393,12876.60369,-5814.769171,4928.977032,11436.73991
1997/10,-1039.936951,12968.68892,-6560.802653,5462.231261,10830.18057
1997/11,-589.0533821,12498.41126,-3768.59489,4914.413428,13055.17641
1997/12,-1069.037274,14069.61818,-5377.221381,5446.302839,13069.66236
1998/01,-863.7278812,5720.319962,-5516.664652,5321.233483,4661.160912
1998/02,-630.3703103,14738.54975,-4113.748248,6662.903578,16657.33477
1998/03,-1992.545251,14351.14278,-4908.863753,8034.258002,15483.99177
1998/04,-780.828462,13699.72714,-7157.038057,5431.207814,11193.06844
1998/05,-610.6857567,14116.77739,-4994.529539,4933.512958,13445.07505
1998/06,-947.3260583,13469.47068,-4680.216747,4790.349585,12632.27746
1998/07,-859.9389178,14894.75123,-6018.315223,4923.053471,12939.55056
1998/08,-748.1651123,11228.33799,-5573.91521,6531.447952,11437.70561
1998/09,-957.2003264,17200.62496,-6101.729672,5898.404109,16040.09907
1998/10,-1130.70149,15241.8417,-7251.728548,3870.79291,10730.20457
1998/11,-798.0558054,10538.99004,-4368.994166,5273.721212,10645.66128
1998/12,-1143.771902,15581.23224,-4797.295292,4475.141522,14115.30657
1999/01,-823.132678,9393.59004,-5274.841883,3997.000228,7292.615707
1999/02,-694.2645383,10981.44163,-4854.027679,5226.056179,10659.20559
1999/03,-5095.258166,14618.46088,-4262.671884,7103.581116,12364.11195
1999/04,-718.2071927,11807.93206,-6353.397253,4348.71166,9085.039276
1999/05,-620.360186,9548.780045,-4576.631049,6203.052999,10554.84181
1999/06,-793.3217295,13080.58183,-4264.73441,5781.150496,13803.67619
1999/07,-841.9819915,13914.2743,-5570.234692,5864.218892,13366.27651
1999/08,-799.320212,8661.643345,-6483.692463,6683.55305,8062.18372
1999/09,-977.3294749,15436.31625,-5726.466725,4539.159644,13271.67969
1999/10,-890.2955067,13272.78306,-6245.956205,4593.141977,10729.67333
1999/11,-720.7418218,8077.422016,-4080.359918,5861.105485,9137.425761
