Series code,PR01'PRCG20_2200000000%,PR02'PRCS20_52B0000000%
,,
Name of time-series,PPI,CPI
1980/01,13.8,
1980/02,15.2,
1980/03,16.3,
1980/04,18.5,
1980/05,18.4,
1980/06,17.7,
1980/07,16,
1980/08,15.5,
1980/09,14.4,
1980/10,12.9,
1980/11,11.8,
1980/12,10.4,
1981/01,8.1,
1981/02,5.7,
1981/03,3.8,
1981/04,0.8,
1981/05,0.3,
1981/06,-0.2,
1981/07,-0.4,
1981/08,-0.5,
1981/09,-0.3,
1981/10,-0.1,
1981/11,0.2,
1981/12,0.3,
1982/01,0.4,
1982/02,0.9,
1982/03,1.1,
1982/04,1.1,
1982/05,0.5,
1982/06,0.4,
1982/07,0.4,
1982/08,0.4,
1982/09,0.3,
1982/10,0.3,
1982/11,0.2,
1982/12,0,
1983/01,0,
1983/02,0,
1983/03,-0.1,
1983/04,-1,
1983/05,-0.6,
1983/06,-0.4,
1983/07,-0.4,
1983/08,-1.3,
1983/09,-1.3,
1983/10,-1.2,
1983/11,-1.2,
1983/12,-0.9,
1984/01,-0.7,
1984/02,-0.5,
1984/03,-0.4,
1984/04,0.3,
1984/05,0.2,
1984/06,0.1,
1984/07,0.1,
1984/08,0.7,
1984/09,0.6,
1984/10,0.4,
1984/11,0.3,
1984/12,0.1,
1985/01,0.1,
1985/02,0,
1985/03,-0.3,
1985/04,-0.3,
1985/05,-0.6,
1985/06,-0.6,
1985/07,-0.8,
1985/08,-1,
1985/09,-1.3,
1985/10,-1.5,
1985/11,-1.8,
1985/12,-2,
1986/01,-3.1,0.8
1986/02,-3.6,1
1986/03,-3.6,0.9
1986/04,-4.3,0.6
1986/05,-4.1,0.6
1986/06,-4.5,0.7
1986/07,-4.9,0.6
1986/08,-5.1,0.8
1986/09,-5.6,0.7
1986/10,-6,0.7
1986/11,-5.9,0.7
1986/12,-5.8,0.7
1987/01,-6.1,0.7
1987/02,-5.8,0.6
1987/03,-5.4,0.6
1987/04,-4.8,0.8
1987/05,-4.6,0.8
1987/06,-3.8,0.6
1987/07,-2.9,0.7
1987/08,-2.2,0.7
1987/09,-1.2,0.7
1987/10,-0.2,0.7
1987/11,0,0.8
1987/12,0,0.8
1988/01,-0.1,0.9
1988/02,-0.1,0.8
1988/03,-0.2,1
1988/04,-0.2,1.1
1988/05,-0.2,1.1
1988/06,-0.2,1.5
1988/07,-0.4,1.5
1988/08,-0.8,1.4
1988/09,-0.9,1.4
1988/10,-1.1,2
1988/11,-1.1,1.9
1988/12,-1,1.9
1989/01,-0.4,2.1
1989/02,0,2.2
1989/03,0.1,2.3
1989/04,2.2,5.1
1989/05,2.5,5.1
1989/06,2.5,5.1
1989/07,2.7,5.2
1989/08,2.8,5.3
1989/09,2.7,5.5
1989/10,2.6,5.2
1989/11,2.5,5.2
1989/12,2.5,5.2
1990/01,2.6,5.3
1990/02,2.5,5.4
1990/03,2.5,5.3
1990/04,0.7,3.2
1990/05,0.6,3.4
1990/06,0.5,3.1
1990/07,0.5,3.5
1990/08,0.6,3.6
1990/09,1.1,3.6
1990/10,1.8,3.9
1990/11,2.2,4.1
1990/12,2.3,4.2
1991/01,1.6,3.7
1991/02,1.7,3.5
1991/03,1.6,3.4
1991/04,1.5,3
1991/05,1.6,3
1991/06,1.4,3.1
