Name,Surplus,Solution,Lead,Employee + Position,Their email,Decision Maker,Phone Number,Status,Last PoC Date,"Shop category (pizzeria RM, pizzeria MTO, fast casual RM, fast casual MTO, bakery, donut shop, cafe, bagels shop, grocer, grab n' go)",# of locations,Ownership,Address,Physically Visited? Y/N,"Last Poc Type (in-person, call, email)",Touchpoint #,Notes,lon,lat,address,status_Color
Aggies Bakery and Cakeshop,yes,yes,NA,NA,info@aggiesbakery.com,NA,(414) 482-1288,NA,2023-11-28T00:00:00Z,bakery,NA,NA,"7328 W Greenfield Ave West Allis, WI 53214",NA,call,1,we need to email them,-88.00431209999999,43.01695730000001,"7328 w greenfield ave, west allis, wi 53214, usa",darkblue
Simma's Bakery,NA,NA,NA,NA,info@simmasbakery.com,NA,(414) 257-0998,NA,NA,bakery,NA,NA,"817 N 68th St Wauwatosa, WI 53213",NA,NA,NA,NA,-87.99767419999999,43.0401228,"817 n 68th st, wauwatosa, wi 53213, usa",NA
Mid-Way Bakery,NA,NA,NA,NA,midway_bakery@ilovedairyland.com,NA,na,NA,NA,bakery,NA,NA,"275 W Wisconsin Ave Milwaukee, WI 53203",NA,NA,NA,NA,-87.91362880000001,43.0386646,"275 w wisconsin ave, milwaukee, wi 53203, usa",NA
Peter Sciortino's Bakery,NA,NA,NA,NA,psbakery@ymail.com,maria,(414) 209-7393,NA,NA,bakery,NA,NA,"1101 E Brady St Milwaukee, WI 53202",NA,NA,NA,maria turns her bread into bread crumbs that she sells wholesale/surplus baked goods go to the veterans clinic next door,-87.89780979999999,43.0527878,"1101 e brady st, milwaukee, wi 53202, usa",NA
Boulangerie La Monde,yes,yes,NA,NA,NA,NA,(262) 375-1050,NA,NA,bakery,NA,NA,"W62 N588 Washington Ave Cedarburg, WI 53012",NA,NA,NA,donates to 2 food pantries that account for all of their surplus,-87.9875124,43.2969765,"w62 n588 washington ave, cedarburg, wi 53012, usa",darkblue
Rocket Baby Bakery,yes,yes,NA,caitlin,angie@rocketbabybakery.com,NA,(414) 502-7323,NA,NA,bakery,NA,NA,"6822 W North Ave Wauwatosa, WI 53213",NA,NA,NA,NA,-87.9982832,43.06099,"6822 w north ave, wauwatosa, wi 53213, usa",darkblue
Scordato Bakery Inc,yes,yes,lost,NA,NA,empanela,(414) 327-8555,NA,NA,bakery,NA,NA,"5011 W Howard Ave Milwaukee, WI 53220",NA,NA,NA,NA,-87.97733,42.9733756,"5011 w howard ave, milwaukee, wi 53220, usa",darkblue
Blooming Lotus Bakery,yes,gb model,NA,NA,NA,NA,(414) 212-8010,NA,NA,bakery,NA,NA,"2215 East North Ave Milwaukee, WI 53202",NA,lvm,NA,they freeze day olds and sell at 50% off the next day,-87.8831148,43.0599669,"2215 e north ave, milwaukee, wi 53202, usa",darkblue
Amaranth Bakery & Cafe,NA,NA,NA,NA,NA,NA,(414) 934-0587,NA,NA,bakery,NA,NA,"3329 W Lisbon Ave Milwaukee, WI 53208",NA,lvm,NA,lvm,-87.9561064,43.0543798,"3329 w lisbon ave, milwaukee, wi 53208, usa",NA
The Cake Lady,NA,NA,NA,NA,cakeladydesigns@gmail.com,NA,(414) 294-4220,NA,NA,bakery,NA,NA,"3561 S Kinnickinnic Ave Milwaukee, WI 53235",NA,lvm,NA,lvm,-87.8790437,42.9795383,"3561 s kinnickinnic ave, st francis, wi 53235, usa",NA
Kelly's Pot Pies and More,no,NA,NA,NA,pat@kellyspotpies.com,pat,262-592-1900,NA,NA,bakery,2,NA,"3785 S 108th St Greenfield, WI 53228",NA,call,1,they sell frozen pot pies so there isn't surplus,-88.0484006,42.9755168,"3785 s 108th st, greenfield, wi 53228, usa",red
Grebe's Bakery,yes,yes,NA,NA,billharvey@grebebakery.com,Bill,(414) 543-7000,NA,NA,bakery,NA,NA,"5132 W Lincoln Ave Milwaukee, WI 53219",NA,call,1,they donate a % to a church/possibly can list the remainder w us,-87.97857929999999,43.0036048,"5132 w lincoln ave, west allis, wi 53219, usa",darkblue
Adam's Bakery,yes,yes,NA,NA,bailey@cadamsbakery.com,bailey,(414) 271-1871,NA,NA,bakery,NA,NA,"400 N Water St Milwaukee, WI 53202",NA,NA,NA,they donate % of their surplus,-87.90848679999999,43.0352599,"400 n water st, milwaukee, wi 53202, usa",darkblue
Arcoiris Bakery,yes,yes,NA,NA,NA,Jose,(414) 210-3376,NA,NA,bakery,NA,NA,"1414 S 6th St Milwaukee, WI 53204",NA,NA,NA,jose speaks spanish/call back before 10 on Wednesdays to get a english speaker,-87.9181773,43.0166534,"1414 s 6th st, milwaukee, wi 53204, usa",darkblue
O&H Danish Bakery,yes,yes,NA,april,NA,becky,262-504-7000,NA,NA,bakery,NA,NA,"9540 S 27th St Oak Creek, WI 53154",NA,NA,NA,she didn't know if donations account for 100p of their surplus,-87.9506237,42.87166149999999,"9540 s 27th st, oak creek, wi 53154, usa",darkblue
Sugar & Flour Bakery Cafe,no,NA,lost,NA,NA,Karen,(414) 421-5565,NA,NA,bakery,NA,NA,"5721 Broad St Greendale, WI 53129",NA,NA,NA,no surplus,-87.9968389,42.9398709,"5721 broad st, greendale, wi 53129, usa",red
Greige Patisserie,NA,NA,NA,NA,NA,NA,(414) 252-0143,NA,NA,bakery,NA,NA,"408 W Florida St Ste 104 Milwaukee, WI 53204",NA,lvm,NA,NA,-87.9162659,43.0275193,"408 w florida st #104, milwaukee, wi 53204, usa",NA
Matilda Bakehouse,NA,NA,NA,NA,NA,NA,(414) 213-4019,NA,NA,bakery,NA,NA,"217 N Broadway Bavette Milwaukee, WI 53202",NA,lvm,NA,NA,-87.90738789999999,43.0331463,"217 n broadway, milwaukee, wi 53202, usa",NA
