CityName,State,Zip,Name,PhoneNum,Address,Called (y/n),Surplus,Solution,Notes,lon,lat,address,status_Color
Nashville,TN,37208,The Cupcake Collection,(615) 244-2900,1213 6th Ave N Nashville TN 37208,voicemail,NA,NA,3 shops - one in new orleans / taneesha brown = marketing manager,-86.7897225,36.17499979999999,"1213 6th ave n, nashville, tn 37208, usa",NA
Nashville,TN,37209,Crazi Cakes,(615) 865-1450,103 White Bridge Pike Nashville TN 37209,yes,no,no,"crazicakes1@gmail.com - julie = owner/ Beth = employee/ work by appoitment, not a storefront / commercial kitchen",-86.8584001,36.1325518,"103 white bridge pike, nashville, tn 37209, usa",red
Nashville,TN,37205,Nothing Bundt Cakes,(615) 354-6300,21 White Bridge Pike Ste 111B Nashville TN 37205,NA,NA,NA,NA,-86.85373539999999,36.1282135,"21 white bridge pike #111b, nashville, tn 37205, usa",NA
Nashville,TN,37203,Bake Shoppe,(615) 321-2394,1418 Church St Nashville TN 37203,NA,NA,NA,NA,-86.7927053,36.1577038,"1418 church st, nashville, tn 37203, usa",NA
Nashville,TN,37206,Sweet Sixteenth Bakery,(615) 226-8367,311 N 16th St Nashville TN 37206,N/A,NA,NA,NA,-86.74129359999999,36.1796598,"311 n 16th st, nashville, tn 37206, usa",NA
Nashville,TN,37203,(Sun and Fork?),(615) 292-7323,2525 W End Ave Nashville TN 37203,NA,NA,NA,NA,-86.8089971,36.1459506,"2525 west end ave, nashville, tn 37203, usa",NA
Nashville,TN,37232,Au Bon Pain,(615) 320-0164,1211 Medical Center Dr Nashville TN 37232,NA,NA,NA,NA,-86.801913,36.1411298,"1211 medical center dr, nashville, tn 37232, usa",NA
Nashville,TN,37215,Great Harvest Bread Company,(615) 298-1032,3900 Hillsboro Pike Ste 32 Nashville TN 37215,yes,yes,yes,donate bread to church / donate to another organization / sometimes leftover / call in the morning at 7am / Selene = employee,-86.8128399,36.1052427,"3900 hillsboro pike #32, nashville, tn 37215, usa",darkblue
Nashville,TN,37203,Tiff's Treats,(615) 645-5916,2422 Elliston Pl Nashville TN 37203,NA,NA,NA,on tgtg - customerservice@cookiedelivery.com (6ish months) / not franchised - normal friends and family run businesses / Keeley,-86.80833319999999,36.1481907,"2422 elliston pl, nashville, tn 37203, usa",NA
Nashville,TN,37211,La Espiga Bakery,(615) 333-8040,4536 Nolensville Pike Ste H Nashville TN 37211,NA,NA,NA,NA,-86.7216009,36.0706133,"4536 nolensville pk h, nashville, tn 37211, usa",NA
Nashville,TN,37219,Sweet Things Bakery Nashville,(615) 840-7148,215 6th Ave N Nashville TN 37219,N/A,NA,NA,NA,-86.7818456,36.1631474,"215 6th ave n, nashville, tn 37219, usa",NA
Nashville,TN,37212,Legato Gelato,(615) 530-3190,1200 Villa Pl Ste 113 Nashville TN 37212,NA,NA,NA,NA,-86.7917384,36.1429422,"1200 villa pl #113, nashville, tn 37212, usa",NA
Nashville,TN,37203,Dozen Bakery,(615) 712-8150,516 Hagan St  Suite 103 Nashville TN 37203,NA,NA,NA,click #1 when calling,-86.7721392,36.1407534,"516 hagan st #103, nashville, tn 37203, usa",NA
Nashville,TN,37212,My Bake Shop,(615) 298-4519,3203 Hillside Dr Nashville TN 37212,NA,NA,NA,NA,-86.81524019999999,36.1312341,"3203 hillside dr, nashville, tn 37212, usa",NA
Nashville,TN,37203,Cakes by Priscilla,(731) 616-4363,434 Houston St Nashville TN 37203,NA,NA,NA,NA,-86.7669141,36.1430853,"434 houston st, nashville, tn 37203, usa",NA
Nashville,TN,37210,Catch Land and Sea,(615) 991-5149,41 Peabody St Nashville TN 37210,NA,NA,NA,Not a bakery,-86.76854259999999,36.1577981,"41 peabody st, nashville, tn 37210, usa",NA
Nashville,TN,37206,The Cake Project,(615) 538-8271,1006 Fatherland St Ste 303 Nashville TN 37206,NA,NA,NA,NA,-86.7507607,36.1740513,"1006 fatherland st #303, nashville, tn 37206, usa",NA
Nashville,TN,37206,Guilt Free Bakery,(615) 830-6822,975 Main St Nashville TN 37206,NA,NA,NA,NA,-86.75229619999999,36.1783046,"975 main st, nashville, tn 37206, usa",NA
