Name,PhoneNum,Address,Surplus,Solution,lon,lat,address,status_Color
Kick Ass Kakes,(602) 266-0533,4700 N Central Ave Ste 105 Phoenix AZ 85012,NA,NA,-112.0745341,33.506001,"4700 n central ave #105, phoenix, az 85012, usa",NA
Diana's Bakery,(602) 415-9715,5010 W Mcdowell Rd Phoenix AZ 85035,NA,no,-112.166704,33.4663748,"5010 w mcdowell rd, phoenix, az 85035, usa",blue
Classic Cakes and Confection,(602) 795-9662,10801 N 32nd St Ste 3 Phoenix AZ 85028,NA,NA,-112.0127053,33.5846534,"10801 n 32nd st #3, phoenix, az 85028, usa",NA
Baker Wee,(602) 843-0112,4263 W Thunderbird Rd Phoenix AZ 85053,NA,NA,-112.1508179,33.6103391,"4263 w thunderbird rd, phoenix, az 85053, usa",NA
Switch Restaurant & Wine Bar,(602) 264-2295,2603 N Central Ave Phoenix AZ 85004,NA,NA,-112.0734629,33.4770272,"2603 n central ave, phoenix, az 85004, usa",NA
Cakes 'n' Pastries,(480) 442-4119,17150 N 23rd St Unit 125 Phoenix AZ 85022,NA,NA,-112.0340149,33.6430121,"17150 n 23rd st unit 125, phoenix, az 85022, usa",NA
Holsum Bakery,(623) 434-3150,18631 N 19th Ave Phoenix AZ 85027,NA,NA,-112.0988798,33.6558058,"18631 n 19th ave, phoenix, az 85027, usa",NA
Oroweat Bakery Outlet,(602) 788-0372,19401 N Cave Creek Rd Phoenix AZ 85024,NA,NA,-112.0297998,33.6633528,"19401 n cave creek rd, phoenix, az 85024, usa",NA
Cafe Valley Bakery Inc,(602) 278-2909,7000 W Buckeye Rd Phoenix AZ 85043,NA,NA,-112.2106681,33.4383901,"7000 w buckeye rd, phoenix, az 85043, usa",NA
Wild Flower Bread Company,(602) 275-2300,3400 E Sky Harbor Blvd Phoenix AZ 85034,yes,yes,-112.035749,33.4413046,"3400 e sky harbor cir n, phoenix, az 85034, usa",red
Wildflower Bread Company,(480) 951-0094,3319 N 35th Ave Phoenix AZ 85017,yes,yes,-112.1336163,33.4866538,"3319 n 35th ave, phoenix, az 85017, usa",red
Lilac Bakery,(602) 559-4869,2747 E Indian School Rd Phoenix AZ 85016,NA,NA,-112.0219506,33.4947439,"2747 e indian school rd, phoenix, az 85016, usa",NA
Sweet Baby,(602) 535-5940,2323 N 39th Pl Phoenix AZ 85008,NA,NA,-111.9963571,33.4739624,"2323 north 39th pl, phoenix, az 85008, usa",NA
Bread and Honey House,602-825-1048,4700 E Van Buren St Phoenix AZ 85008,NA,NA,-111.9806725,33.4513988,"4700 e van buren st, phoenix, az 85008, usa",NA
The Bakery Phx,(480) 499-0211,1528 E Bethany Home Rd Phoenix AZ 85014,NA,NA,-112.048522,33.5240236,"1528 e bethany home rd, phoenix, az 85014, usa",NA
Cookie Brokers Bakery of Phoenix,(602) 651-1352,3931 E Indian School Rd Phoenix AZ 85018,yes,no,-111.9959631,33.4941722,"3931 e indian school rd, phoenix, az 85018, usa",blue
Omg! Cake Pops,(480) 478-3317,Arizona Phoenix AZ 85016,NA,NA,-112.029752,33.5106684,"phoenix, az 85016, usa",NA
Angelicious Cakes & Fine Treats,(602) 741-5669,Private Phoenix AZ 85041,NA,NA,-112.0963314,33.6197267,"s private dr, phoenix, az 85023, usa",NA
Cinnabon,(602) 331-4400,9617 Metro Parkway Phoenix AZ 85051,NA,NA,-112.121551,33.5757555,"9617 n metro pkwy e, phoenix, az 85051, usa",NA
Gluten-Free Creations,(602) 626-7458,10880 N 32nd St Ste 39 Phoenix AZ 85028,no,NA,-112.013981,33.5859179,"10880 n 32nd st #39, phoenix, az 85028, usa",NA
Kneaders Bakery & Cafe,(602) 688-8530,4730 E Ray Rd Phoenix AZ 85044,NA,NA,-111.9817321,33.3203173,"4730 e ray rd, phoenix, az 85044, usa",NA
The Bone Appetit Bakery,(480) 785-9499,4810 E Ray Rd Ste 5 Phoenix AZ 85044,NA,NA,-111.9795253,33.3212014,"4810 e ray rd #5, phoenix, az 85044, usa",NA
Lemme Eat Gluten Free Store,(480) 779-7059,16049 S 27th Pl Phoenix AZ 85048,NA,NA,-112.0229986,33.3005693,"16049 s 27th pl, phoenix, az 85048, usa",NA
Sugar Sugar Cake Studio Inc,(602) 553-2253,387 N 2nd Ave Phoenix AZ 85003,NA,NA,-112.0760012,33.4545532,"387 n 2nd ave, phoenix, az 85003, usa",NA
Rainbo Bread Rainbo Bread,(602) 252-6881,738 W Van Buren St Phoenix AZ 85007,NA,NA,-112.084345,33.451864,"738 w van buren st, phoenix, az 85007, usa",NA
Chaconne Patisserie,(480) 681-3624,909 N 1st St Phoenix AZ 85004,NA,NA,-112.0722864,33.4580792,"909 n 1st st, phoenix, az 85004, usa",NA
A Bakeshop,(602) 274-2253,803 N 7th St Phoenix AZ 85006,NA,NA,-112.0649295,33.4568725,"803 n 7th st, phoenix, az 85006, usa",NA
Strictly From Scratch,(602) 283-4360,912 N 17th Ave Phoenix AZ 85007,NA,NA,-112.0965602,33.4580005,"912 n 17th ave, phoenix, az 85007, usa",NA
Mamma Toleodos the Pie Hole,(602) 332-7346,2329 N 7th St Phoenix AZ 85006,NA,NA,-112.0648233,33.474289,"2329 n 7th st, phoenix, az 85006, usa",NA
Kick Ass Kakes,(602) 266-0533,342 W Vernon Ave Phoenix AZ 85003,NA,NA,-112.0801231,33.4742443,"342 w vernon ave, phoenix, az 85003, usa",NA
Bake Tech Pros,(602) 438-7061,2320 W Palm Ln Phoenix AZ 85009,NA,NA,-112.1094763,33.4698515,"2320 w palm ln, phoenix, az 85009, usa",NA
El Buen Gusto,(602) 278-0707,2902 W Van Buren St Phoenix AZ 85009,NA,NA,-112.1223982,33.4514713,"2902 w van buren st, phoenix, az 85009, usa",NA
