Name,Surplus,Solution,Lead,Employee + Position,Their email,Decision Maker,Phone Number,Status,Last PoC Date,"Shop category (pizzeria RM, pizzeria MTO, fast casual RM, fast casual MTO, bakery, donut shop, cafe, bagels shop, grocer, grab n' go)",# of locations,Ownership,Address,Physically Visited? Y/N,"Last Poc Type (in-person, call, email)",Touchpoint #,Notes,lon,lat,address,status_Color
Eva's Bakery,yes,gb model,NA,NA,NA,NA,(801) 355-3942,NA,NA,NA,NA,NA,"155 S Main St Salt Lake City, UT 84111",NA,NA,NA,sells surplus 50% off the next day/those that don't sell are tossed or given away,-111.8905576,40.7657442,"155 s main st, salt lake city, ut 84111, usa",blue
Gourmandise,NA,NA,NA,NA,NA,NA,(801) 328-3330,NA,NA,NA,NA,NA,"250 S 300th E Salt Lake City, UT 84111",NA,NA,NA,NA,-111.8831052,40.7638286,"250 s 300 e, salt lake city, ut 84111, usa",NA
Fillings and Emulsions,NA,NA,NA,NA,NA,katie,(385) 229-4228,NA,NA,NA,NA,NA,"1475 S Main St Salt Lake City, UT 84115",NA,NA,NA,NA,-111.890592,40.7374786,"1475 s main st, salt lake city, ut 84115, usa",NA
Vosen's Bread Paradise,NA,NA,NA,NA,NA,NA,(801) 322-2424,NA,NA,NA,NA,NA,"328 W 200th S Salt Lake City, UT 84101",NA,NA,NA,NA,-111.9007813,40.765429,"328 w 200 s, salt lake city, ut 84101, usa",NA
Mrs. Backer's Pastry Shop,yes,no,NA,NA,NA,NA,(801) 532-2022,NA,NA,NA,NA,NA,"434 E South Temple Salt Lake City, UT 84111",NA,NA,NA,couldn't donate for health code reasons/short staffed at the moment,-111.8783262,40.7690331,"434 e s temple st, salt lake city, ut 84111, usa",red
Delice Bakery & Cafe,yes,NA,NA,NA,NA,NA,(801) 953-1910,NA,NA,NA,NA,NA,"2747 S State St Salt Lake City, UT 84115",NA,NA,NA,only surplus is bread,-111.8876635,40.7117577,"2747 s state st, south salt lake, ut 84115, usa",NA
Lone Pine Bakery,NA,NA,NA,NA,lonepinebakery@gmail.com,NA,(385) 237-3556,NA,NA,NA,NA,NA,"834 E 9400th S Ste 58 Salt Lake City, UT 84094",NA,NA,NA,NA,-111.8683298,40.579137,"834 e 9400 s #58, sandy, ut 84094, usa",NA
85 Bakery Cafe,NA,NA,NA,NA,NA,NA,(385) 355-9991,NA,NA,NA,NA,NA,"3390 S State St South Salt Lake, UT 84115",NA,NA,NA,NA,-111.8890937,40.6980345,"3390 s state st, south salt lake, ut 84115, usa",NA
Beaumont Bakery & Cafe,NA,NA,NA,NA,NA,NA,(801) 676-9340,NA,NA,NA,NA,NA,"3979 Wasatch Blvd Salt Lake City, UT 84124",NA,NA,NA,NA,-111.7944692,40.6862004,"3979 wasatch blvd, salt lake city, ut 84124, usa",NA
Carlucci's Bakery,yes,yes,NA,NA,NA,theresa,(801) 366-4484,NA,NA,NA,NA,NA,"314 W Broadway Salt Lake City, UT 84101",NA,NA,NA,been around for 25+ years/donates 100p/loveed the idea of goodie bag,-111.9003106,40.7630687,"314 w broadway, salt lake city, ut 84101, usa",darkblue
Kyung's Bakery,yes,no,NA,NA,NA,NA,(801) 904-3849,NA,NA,NA,NA,NA,"153 E 4370th S Ste 18 Salt Lake City, UT 84107",NA,NA,NA,nice guy/family owned/liked the idea of gb,-111.8862292,40.6759903,"153 e 4370 s #18, murray, ut 84107, usa",red
Carol's Cakes and Pastry Shops,no,NA,NA,NA,NA,NA,(801) 484-3442,NA,NA,NA,NA,NA,"1991 Lincoln St Salt Lake City, UT 84105",NA,NA,NA,NA,-111.8636884,40.7269096,"1991 lincoln st, salt lake city, ut 84105, usa",NA
RubySnap Fresh Cookies,yes,not 100%,NA,NA,NA,NA,(801) 834-6111,NA,NA,NA,NA,NA,"770 S 300 W Salt Lake City, UT 84101",NA,NA,NA,NA,-111.9001991,40.7523934,"770 s 300 w, salt lake city, ut 84101, usa",NA
Moon Bakery,NA,NA,NA,NA,NA,NA,(801) 263-0404,NA,NA,NA,NA,NA,"3390 S State St Ste 20 South Salt Lake City, UT 84115",NA,NA,NA,NA,-111.8890937,40.6980345,"3390 s state st #20, south salt lake, ut 84115, usa",NA
Tulie Bakery,yes,no,NA,NA,NA,NA,(801) 883-9741,NA,NA,NA,NA,NA,"863 E 700th S Salt Lake City, UT 84102",NA,NA,NA,NA,-111.866069,40.7543878,"863 e 700 s, salt lake city, ut 84102, usa",red
The Dough Miner,yes,no,NA,NA,NA,NA,(385) 334-3389,NA,NA,NA,NA,NA,"945 S 300th W Ste 101 Salt Lake City, UT 84101",NA,NA,NA,NA,-111.8994695,40.7485074,"945 s 300 w #101, salt lake city, ut 84101, usa",red
Beardall's Bakery,yes,yes,NA,NA,NA,NA,(801) 250-0096,NA,NA,NA,NA,NA,"8963 W Magna Main St Magna, UT 84044",NA,NA,NA,NA,-112.1055062,40.7108062,"8963 w magna main st, magna, ut 84044, usa",darkblue
Passion Flour,yes,no,NA,NA,jessica@passionflowerslc.com,Jessica,(385) 242-7040,NA,NA,NA,NA,NA,"165 E 900 S Salt Lake City, UT 84111",NA,NA,NA,NA,-111.8859818,40.7500907,"165 e 900 s, salt lake city, ut 84111, usa",red
Granary Bakehouse,yes,no,NA,NA,NA,NA,(385) 212-4298,NA,NA,NA,NA,NA,"1059 E 900th S Ste 102 Salt Lake City, UT 84105",NA,NA,NA,donates 1x a week/otherwise gives to EEs/toss away,-111.860468,40.7500222,"1059 e 900 s unit 102, salt lake city, ut 84105, usa",red
Hruska's Kolaches,NA,NA,NA,NA,NA,NA,(385) 309-4379,NA,NA,NA,NA,NA,"2030 S 900th E Salt Lake City, UT 84105",NA,NA,NA,NA,-111.8657782,40.72593190000001,"2030 s 900 e, salt lake city, ut 84105, usa",NA
City Cakes and Cafe,yes,yes,NA,NA,NA,NA,(801) 359-2239,NA,NA,NA,NA,NA,"1860 S 300th W Ste D Salt Lake City, UT 84115",NA,NA,NA,every few days someone comes by and picks up donations,-111.9006494,40.7295698,"1860 s 300 w d, salt lake city, ut 84115, usa",darkblue
