Restaurant,POC...2,Surplus,Solution,Lead,Employee + Position,Their email,Decision Maker,Phone Number,Status,Last PoC Date,"Shop category (pizzeria RM, pizzeria MTO, fast casual RM, fast casual MTO, bakery, donut shop, cafe, bagels shop, grocer, grab n' go)",# of locations,Ownership,Address,POC...16,Physically Visited? Y/N,"Last Poc Type (in-person, call, email)",Touchpoint #,Next Visit Date,"Type(A,B,C)","Phone (store, cell)",Their position,Decision Maker Email,Notes,lon,lat,address,status_Color
Vitality Bowls,NA,NA,NA,L0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13492 Bass Pro Dr, Colorado Springs, CO 80921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8252609,39.02769,"13492 bass pro dr, colorado springs, co 80921, usa",black
Boonzaaijer's Dutch Bakery,NA,NA,NA,L0,Melissa,NA,Stephen B… = owner,Stephen B… = owner,NA,NA,NA,NA,NA,"610 East Fillmore Street, Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.81384130000001,38.8745355,"610 e fillmore st, colorado springs, co 80907, usa",black
Nana's Bakery,NA,NA,NA,L0,NA,NA,NA,(719) 473-4424,NA,NA,NA,NA,NA,"3255 E Platte Ave Ste I Colorado Springs, CO 80909",NA,NA,NA,NA,NA,NA,NA,NA,NA,call before 11,-104.7688564,38.839109,"3255 e platte ave unit i, colorado springs, co 80909, usa",black
Wimbergers,Jack,yes,yes,lost,Ollee,NA,NA,(719) 634-6313,"Lola said ""we don't need that"" over the phone…",NA,NA,NA,NA,"2321 Bott Ave Colorado Springs, CO 80904",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robert + wife = owners, they donate 100% of their surplus to food shelters",-104.8649515,38.8415601,"2321 bott ave, colorado springs, co 80904, usa",red
Marigold Cafe & Bakery,Jack,NA,NA,L0,NA,NA,NA,(719) 599-4776,NA,NA,NA,NA,NA,"4605 Centennial Blvd, Colorado Springs, CO 80919",NA,NA,NA,NA,NA,NA,NA,NA,NA,LVM - call tree - 6 for lvm for mngr,-104.8504429,38.8988151,"4605 centennial blvd, colorado springs, co 80919, usa",black
Il Vacino Wood Oven Pizza,Jack,no,NA,L0,NA,NA,NA,(719) 590-8633,NA,NA,NA,NA,NA,"5214 N Nevada Ave Colorado Springs, CO 80918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8190598,38.9046111,"5214 n nevada ave, colorado springs, co 80918, usa",black
Roadrunner Pizza & Pasta,Jack,no,NA,L0,Grace,NA,NA,(719) 636-2112,NA,NA,NA,NA,NA,"3113 N Hancock Ave Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8027497,38.8764579,"3113 n hancock ave, colorado springs, co 80907, usa",black
La baggoutes,NA,NA,NA,L0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4440 N Chestnut St, Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8362637,38.8953829,"4440 n chestnut st, colorado springs, co 80907, usa",black
Bread and butter,Eddy,NA,NA,stalled,NA,info@breadandbuttermarket.com,Stacey,NA,NA,NA,NA,NA,NA,"602 S Nevada Ave, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8225479,38.8252449,"602 s nevada ave, colorado springs, co 80903, usa",brown
Bird Tree Cafe,NA,NA,NA,L0,NA,NA,NA,NA,NA,719-649-1935,spoke to dre,NA,NA,"218 N Tejon St ste 110, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8238011,38.8374603,"218 n tejon st #110, colorado springs, co 80903, usa",black
Till Neighborhood Bistro,Eddy,NA,NA,L2,Emilio Ramos - GM,eramos@tillsouth.com,\,NA,NA,NA,NA,NA,NA,"616 S Tejon St Suite C, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,GM,NA,Interested and in contact with Emilio,-104.8245313,38.8248886,"616 s tejon st suite c, colorado springs, co 80903, usa",blue
T-Byrds,NA,NA,NA,L0,Julia Violet - GM,NA,NA,NA,NA,NA,NA,NA,NA,"26 E Kiowa St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,GM,NA,NA,-104.8240841,38.8354906,"26 e kiowa st, colorado springs, co 80903, usa",black
Fillmore Pizza Kitchen,NA,NA,NA,L0,NA,NA,NA,(719) 635-5955,NA,NA,NA,NA,NA,"3150 N Chestnut St Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8377592,38.8781564,"3150 n chestnut st, colorado springs, co 80907, usa",black
Jack Quinns,Eddy,NA,NA,L2,Carelyn,C.Mayberry@jackquinnspub.com,Meredith,NA,NA,NA,NA,NA,NA,"21 S Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,Very interested and had back and forth over email,-104.8231406,38.8329622,"21 s tejon st, colorado springs, co 80903, usa",blue
Parrys Sliceria & Taps,Jack,no,NA,stalled,shift manager,NA,Erica,(719) 741-7487,NA,45243,pizza mto,NA,NA,"1612 S Nevada Ave Ste 110 Colorado Springs, CO 80905",NA,NA,NA,NA,NA,NA,NA,NA,NA,Erica will be in 9-10 AM Tues & Wed,-104.8231518,38.81077579999999,"1612 s nevada ave ste 110, colorado springs, co 80906, usa",brown
molly mountain pies,Jack,no,NA,L0,NA,NA,NA,(719) 300-8214,NA,45243,pizza mto,NA,NA,"7669 N Union Blvd Colorado Springs, CO 80920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.7732566,38.942084,"7669 n union blvd, colorado springs, co 80920, usa",black
Mary's Mountain Cookies,Eddy,NA,NA,lost,Alyssa,mmcookiescosprings@gmail.com,Kristy,NA,NA,NA,NA,NA,NA,"7 S Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8233405,38.8335255,"7 s tejon st, colorado springs, co 80903, usa",red
Poor Richards,Eddy,NA,NA,L2,Kim - PR,kim@poorrichardsdowntown.com,NA,NA,NA,NA,NA,NA,NA,"324 1/2 N Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8235043,38.8390807,"324 1/2 n tejon st, colorado springs, co 80903, usa",blue
Bambinos Urban Pizzeria,Jack,NA,NA,lost,Ashley-EE,NA,NA,(719) 630-8121,NA,NA,pizza mto,NA,NA,"36 E Bijou St Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,No food waste,-104.8238018,38.8368932,"bambino's urban pizzeria, 36 e bijou st, colorado springs, co 80903, usa",red
Gasoline Alley,Eddy,NA,NA,lost,Neal,NA,NA,NA,NA,NA,NA,NA,NA,"28 N Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,no surplus,-104.8238246,38.8350319,"28 n tejon st, colorado springs, co 80903, usa",red
Ola Juice Bar,Eddy,NA,NA,L2,Christina,info@olajuicebar.com,NA,NA,NA,NA,NA,NA,NA,"27 E Kiowa St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.7943187,38.834211,"27 e kiowa st, colorado springs, co 80909, usa",blue
Munchies,Eddy,NA,NA,L2,Chuck,munchies719@yahoo.com,NA,NA,NA,NA,NA,NA,NA,"122 N Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8238635,38.8361597,"122 n tejon st, colorado springs, co 80903, usa",blue
Leon Gessi New York Pizza,Jack,no,NA,L0,Will - EE,NA,NA,(719) 635-1542,NA,NA,pizza mto,NA,NA,"1806 Palmer Park Blvd Colorado Springs, CO 80909",NA,NA,NA,NA,NA,NA,NA,NA,NA,only dough balls that are made in the morning turn into surplus,-104.7936878,38.8545087,"1806 palmer park blvd, colorado springs, co 80909, usa",black
Dos Dos,Eddy,NA,NA,L1,Stetson,dosdos@gmail.com,NA,NA,NA,NA,NA,NA,NA,"131 N Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8230836,38.8365365,"131 n tejon st, colorado springs, co 80903, usa",orange
Odyssey Gastro Pub,Eddy,NA,NA,L1,Ryan,megan@odysseygastropub.com,Megan,NA,NA,NA,NA,NA,NA,"311 N Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8230892,38.8387294,"311 n tejon st, colorado springs, co 80903, usa",orange
Cacao Chemistry,Eddy,NA,NA,L1,NA,sales@cacaochemistry.com,Sam,NA,NA,NA,NA,NA,NA,"109 N Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8228898,38.83565230000001,"109 n tejon st, colorado springs, co 80903, usa",orange
Jose Muldoon's,Eddy,no,no,stalled,Eric,joses@conceptrestaurants.net,NA,NA,NA,stalled,fast casual mto,NA,NA,"222 N Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,spoke w the manager eric. They don't have food waste but he said he'll look into it.,-104.8235248,38.8376457,"222 n tejon st, colorado springs, co 80903, usa",brown
Solar Roast,Eddy,NA,NA,L1,NA,savannah@solarroast.com,Savannah,NA,NA,NA,NA,NA,NA,"134 N Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.823616,38.836529,"134 n tejon st, colorado springs, co 80903, usa",orange
Everest Nepal Restaurant & Bar,Eddy,NA,NA,L1,NA,rrjks@msn.com,NA,NA,NA,NA,buffet,NA,NA,"28 E Bijou St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8238801,38.8369337,"28 e bijou st, colorado springs, co 80903, usa",orange
Joeys NY Pizza,Jack,yes,no,L1,Jeff - shift manager,allyse.ml130@gmail.com,Allyse,(719) 265-6922,SEM,45247,pizza rm,NA,NA,"227 S 8th St Colorado Springs, CO 80905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8397939,38.8317959,"227 s 8th st, colorado springs, co 80905, usa",orange
Slice 420,Jack,yes,no,L2,Michael,NA,NA,(719) 375-0393,NA,NA,NA,NA,NA,"3725 Oro Blanco Dr Colorado Springs, CO 80917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.7381052,38.8861986,"3725 oro blanco dr, colorado springs, co 80917, usa",blue
Duca's Neapolitan Pizza,Jack,yes,no,L1,Nick - EE,rathey@gmail.com,Bob,(719) 247-8830,SEM,45247,pizza rm,NA,NA,"236 E Cheyenne Mountain Blvd Colorado Springs, CO 80906",NA,NA,NA,NA,NA,NA,NA,NA,NA,Have surplus they either throw out or donate to homeless,-104.8235054,38.7901771,"236 e cheyenne mountain blvd, colorado springs, co 80906, usa",orange
Boonzaaijer's Dutch Bakery,Eddy,NA,NA,L0,NA,NA,NA,719-264-0177,NA,NA,NA,NA,NA,"610 E Fillmore St, Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.81384130000001,38.8745355,"610 e fillmore st, colorado springs, co 80907, usa",black
Tokki,Jack,yes,Yes,L0,Juwon - EE,NA,NA,(719) 375-0185,NA,NA,fast casual mto,NA,NA,"182 E Cheyenne Mountain Blvd Colorado Springs, CO 80906",NA,NA,NA,NA,NA,NA,NA,NA,NA,MTO/EEs take small amount of surplus home,-104.8233713,38.7904695,"182 e cheyenne mountain blvd, colorado springs, co 80906, usa",black
La Baguette Cafe and Espresso,Eddy,yes,Yes,L0,NA,NA,NA,719–577-4818,NA,NA,NA,NA,NA,"117 E Pikes Peak Ave, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,does day old in store at 50% off,-104.8225968,38.8337026,"117 e pikes peak ave, colorado springs, co 80903, usa",black
Provision Bread & Bakery,NA,NA,NA,L0,NA,NA,NA,719-401-1318,NA,NA,NA,NA,NA,"4 S Wahsatch Ave, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8185116,38.8331959,"4 s wahsatch ave, colorado springs, co 80903, usa",black
The Perk Downtown,Eddy,yes,no,L0,NA,NA,NA,(719) 635-1600,NA,NA,NA,NA,NA,"14 S Tejon St, Colorado Springs, CO 80903",NA,NA,NA,NA,NA,NA,NA,NA,NA,pastry items and bread - get it from loca bakery called early bird bakery,-104.8238246,38.8332734,"14 s tejon st, colorado springs, co 80903, usa",black
Early Bird Bakery,Eddy,NA,NA,L0,NA,NA,Jen,719-799-0706 (C),NA,NA,NA,NA,NA,"6628 Delmonico Dr # A, Colorado Springs, CO 80919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.8314821,38.927265,"6628 delmonico dr a, colorado springs, co 80919, usa",black
Nana's Bakery Inc,Eddy,NA,NA,L0,NA,NA,NA,(719) 473-4424,NA,NA,NA,NA,NA,"3255 E Platte Ave Unit I, Colorado Springs, CO 80909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.7688564,38.839109,"3255 e platte ave unit i, colorado springs, co 80909, usa",black
Mollica's Italian Restaurant and Deli,Jack,NA,NA,L0,Chloe,NA,NA,(719) 598-1088,NA,NA,NA,NA,NA,"985-A Garden Of The Gods Rd Colorado Springs, CO 80907",NA,NA,NA,NA,NA,NA,NA,NA,NA,Spoke w chloe and gave my # to be called by the manager,-104.8396007,38.8963097,"985 garden of the gods rd a, colorado springs, co 80907, usa",black
Back East Bar and Grill,Jack,NA,NA,L0,monica + EE,NA,NA,(719) 488-2252,NA,NA,NA,NA,NA,"1415 Cipriani Lp Monument, CO 80132",NA,NA,NA,NA,NA,NA,NA,NA,NA,EE had no idea/owners own 6 restaurants/need to call back,-104.85245,39.091695,"1415 cipriani loop, monument, co 80132, usa",black
Ruffrano's Hell's Kitchen Pizza,Jack,yes,no,L1,mike - manager,nelsonrufran@msn.com,Nelson,(719) 685-4355,SEM,45247,NA,NA,NA,"9 Ruxton Ave Manitou Springs, CO 80829",NA,NA,NA,NA,NA,NA,NA,NA,NA,tries to give surplus to ees & homeless but its not a long term solution/has roughly $20 in surplus per day/in the winter less homeless come around which means more waste,-104.9199271,38.8588812,"9 ruxton ave, manitou springs, co 80829, usa",orange
AJs Stone Oven American Pizza,Jack,no,NA,lost,tori - EE,NA,NA,(719) 687-4505,NA,NA,pizza mto,NA,NA,"250 E US Hwy 24 Woodland Park, CO 80863",NA,NA,NA,NA,NA,NA,NA,NA,NA,No waste,-105.0495998,38.9934964,"250 us-24, woodland park, co 80863, usa",red
Norma's Bakery,Jack,yes,no,L2,Eder - manager,lopezeder21@yahoo.com,bad email,(719) 434-8944,NA,NA,baakery,NA,NA,"2367 N Academy Blvd Colorado Springs, CO 80909",NA,NA,NA,NA,NA,NA,NA,NA,NA,10-15 items/toss out when they dont sell out,-104.7561092,38.86623549999999,"2367 n academy blvd, colorado springs, co 80909, usa",blue
Sourdough Boulangerie,Jack,no,NA,lost,kimberly - EE,NA,Sean,(719) 203-6179,NA,NA,bakery,NA,NA,"6453 Omaha Blvd Colorado Springs, CO 80915",NA,NA,NA,NA,NA,NA,NA,NA,NA,Gave my info/waiting to hear back,-104.7078746,38.8531485,"6453 omaha blvd, colorado springs, co 80915, usa",red
Amy's Donuts,Jack,yes,no,L0,Elliott - EE,NA,NA,(719) 632-0512,NA,NA,bakery,NA,NA,"2704 E Fountain Blvd Colorado Springs, CO 80910",NA,NA,NA,NA,NA,NA,NA,NA,NA,They have food waste they toss out/call back before 10 AM to speak w manager,-104.7821026,38.8178377,"2704 e fountain blvd, colorado springs, co 80910, usa",black
