Partner,total_unsold,Address,lon,lat,address
Arbol Eatery,42,"227 W Trade St, Charlotte, NC 28202, United States",-80.8453038,35.2279373,"carillon tower, 227 w trade st, charlotte, nc 28202, usa"
Argentine Empanadas by San Telmo Market,297,"813 14th Street, Golden, 80401",-105.2201893,39.7531803,"813 14th st, golden, co 80401, usa"
Atlyss Food Collective,3,"476 Meeting St, Charleston, SC 29403, United States",-79.9397297,32.7957063,"476 meeting st, charleston, sc 29403, usa"
BEG Bakery & Creamery,146,"3030 N 68th St, Scottsdale, AZ 85251",-111.935032,33.4826747,"3030 n 68th st, scottsdale, az 85251, usa"
Bakery Four,22,"4150 Tennyson St, Denver, CO 80212",-105.0437967,39.7734788,"4150 tennyson st, denver, co 80212, usa"
Barchetta,117,"1644 Walnut St, Boulder, CO 80302-5421",-105.2732559,40.0179529,"1644 walnut st, boulder, co 80302, usa"
Basilico Italiano,18,"10020 Edison Square Dr NW, Concord, NC 28027",-80.7586376,35.4024712,"10020 edison square dr nw, concord, nc 28027, usa"
Beard Papa,55,"222 West Blvd, Charlotte, NC 28203",-80.86115939999999,35.2139263,"222 west blvd, charlotte, nc 28203, usa"
Beard Papa,55,"2196 E Williams Field Rd #113, Gilbert AZ 85295",-111.7428291,33.3114167,"2196 e williams field rd #113, gilbert, az 85295, usa"
Beard Papa,55,"15147 N Scottsdale Rd Suite H102 Scottsdale, AZ 85254",-111.9244757,33.6236351,"15147 n scottsdale rd suite h102, scottsdale, az 85254, usa"
Beard Papa,55,"1700 South Colorado Blvd, Denver, CO 80222",-104.9405888,39.6856879,"1700 s colorado blvd, denver, co 80222, usa"
Beyond Amazing Donuts,162,"1730 Abbey Pl, Charlotte, NC 28209",-80.8464714,35.1705039,"1730 abbey pl, charlotte, nc 28209, usa"
Black Box Bakery,34,"5505 W 20th Ave, Edgewater, CO 80214, United States",-105.0572929,39.7491723,"5505 w 20th ave, edgewater, co 80214, usa"
Blend Juice Bar,58,"320 W Coleman Blvd, Mount Pleasant, SC 29464-3449",-79.88870059999999,32.7978959,"320 w coleman blvd, mt pleasant, sc 29464, usa"
Bonfire Burritos,27,"2221 Ford St Golden CO, 80401",-105.2107735,39.7478686,"2221 ford st, golden, co 80401, usa"
Brockmeyer's Coffee Tavern,13,"6341 W Mississippi Ave, Lakewood, CO 80226",-105.0668763,39.6968053,"6341 w mississippi ave, lakewood, co 80226, usa"
Brooklyn's Finest Pizza (16th St),259,"825 16th St Mall Denver, CO 80202",-104.9935147,39.7463664,"825 16th st mall, denver, co 80202, usa"
Brooklyns Finest Pizza (Regis),897,"5007 Lowell Blvd, Denver, CO 80221",-105.0350572,39.7877227,"5007 lowell blvd, denver, co 80221, usa"
Cedarland Restaurant,713,"4832 Central Ave Charlotte, NC 28205",-80.76149480000001,35.2114568,"4832 central ave, charlotte, nc 28205, usa"
