Partner,total_unsold,Address,lon,lat,address
Argentine Empanadas by San Telmo Market,297,"813 14th Street, Golden, 80401",-58.3713942,-34.6218351,"san telmo, buenos aires, argentina"
Bakery Four,22,"4150 Tennyson St, Denver, CO 80212",-105.0437967,39.7734788,"4150 tennyson st, denver, co 80212, usa"
Beard Papa,55,"1699 South Colorado Boulevard, Denver, CO 80222",NA,NA,NA
Black Box Bakery,34,"5505 W 20th Ave, Edgewater, CO 80214, United States",-105.0574711,39.74895040000001,"5505 w 20th ave, edgewater, co 80214, usa"
Brockmeyer's Coffee Tavern,13,"6340 W Mississippi Ave, Lakewood, CO 80226",NA,NA,NA
Brooklyn's Finest Pizza (16th St),259,"825 16th St Mall Denver, CO 80202",-112.0481657,33.5691129,"n 16th st, phoenix, az, usa"
Brooklyns Finest Pizza (Regis),897,"5007 Lowell Blvd, Denver, CO 80221",NA,NA,NA
Celestial Bakery,94,"333 S Federal Blvd, Denver, CO 80219, United States",-105.0257309,39.7105841,"333 s federal blvd # 128, denver, co 80219, usa"
DP Dough,41,"1228 E Colfax Ave Denver, CO 80218",NA,NA,NA
Denver Milk Market,38,"1800 Wazee St 100 Denver, CO 80202",-104.9972712,39.75305729999999,"1800 wazee st suite 100, denver, co 80202, usa"
Detox Juice,112,"3310 Brighton Blvd 110 Denver, CO 80216",NA,NA,NA
Hearth Baking,154,"2500 Lawrence St 200 Denver, CO 80205",NA,NA,NA
Jimano's Pizzeria,10,"2950 S Broadway, Englewood, CO 80113",-104.9870986,39.663002,"2950 s broadway, englewood, co 80113, usa"
Just BE Kitchen LoHi,48,"2364 15th St, Denver, CO 80202",-105.0091111,39.7561111,"2364 15th st, denver, co 80202, usa"
Leroys Bagels,232,"4432 W 29th Ave, Denver, CO 80212",-105.0446807,39.7583291,"4432 w 29th ave, denver, co 80212, usa"
Mercantile Dining & Provisions,88,"1705 Wynkoop St Ste 155, Denver, CO 80202-2197",-104.999707,39.7536124,"1701 wynkoop st #155, denver, co 80202, usa"
Mr. Biscuits Bakery,9,"7176 West 38th Ave Wheat Ridge, CO 80033",-105.076887,39.7691434,"7176 w 38th ave, wheat ridge, co 80033, usa"
My Vision Nutrition - Bonnie Brae,506,"727 S University Blvd Denver, CO 80209",-104.9597398,39.7031438,"727 s university blvd, denver, co 80209, usa"
Nude Foods Denver,19,"3538 W 44th Ave, Denver, CO 80211",-105.0343267,39.7765661,"3538 w 44th ave, denver, co 80211, usa"
Pizza 3.14,1,"225 E 20th Ave, Denver, CO 80205",-104.9841594,39.7478201,"225 e 20th ave, denver, co 80205, usa"
Sati Coffee Co.,32,"5224 W 25th St Edgewater, Denver CO",-105.0540295,39.75292109999999,"5224 w 25th ave, edgewater, co 80214, usa"
Saucy's Southern BBQ & Cuisine,46,"2100 S University Blvd, Denver, CO 80210",-104.9591013,39.67818339999999,"2100 s university blvd, denver, co 80210, usa"
The Cake Bar,14,"214 E 13th Ave, Denver, CO 80203",-104.984358,39.736722,"214 e 13th ave, denver, co 80203, usa"
The Post Chicken and Beer - LoHi,35,"1575 Boulder St Denver, CO 80211",-105.0107971,39.7592276,"1575 boulder st, denver, co 80211, usa"
The Post Chicken and Beer - Rosedale,34,"2200 S Broadway, Denver, CO 80210",-104.9873322,39.6765181,"2200 s broadway, denver, co 80210, usa"
Thump Coffee,126,"1201 E 13th Ave Denver, CO 80218",-104.9728066,39.7370362,"1201 e 13th ave, denver, co 80218, usa"
Trompeau Bakery & Cafe - Broadway,99,"2950 S Broadway, Englewood, CO 80113",-104.9870511,39.6632805,"2950 s broadway, englewood, co 80113, usa"
Trompeau Cafe - 16th Street,16,"934 16th St Mall, Denver CO 80202",-104.9947859,39.747002,"934 16th st mall, denver, co 80202, usa"
Tí Cafe,22,"30 N Broadway Denver, CO 80203",-104.9873144,39.7173194,"30 n broadway, denver, co 80203, usa"
Vital Root,19,"3915 Tennyson St Denver, CO 80212",-105.0443229,39.7714264,"3915 tennyson st, denver, co 80212, usa"
We Knead Donut - Wash Park,116,"723 S University Blvd, Denver, CO",-104.9597055,39.7032764,"723 s university blvd, denver, co 80209, usa"
We Knead Donut Aurora,23,"4213 South Buckley Road, Aurora Colorado 80013",-104.7923999,39.64024860000001,"4213 s buckley rd, aurora, co 80013, usa"
